Sample	TissueType	TOTAL_READS	ON_TARGET_BASES	MEAN_TARGET_COVERAGE	PCT_EXC_DUPE	PCT_EXC_OFF_TARGET	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	Seq
UEB_37	Tumor	9532484	835355	168.74	0.1928	0.0999309	0.995511	0.991975	0.9886	0.983847	0.974057	0.843039	0.1199537	0.04978047	S1
UEB_38	Normal	11112792	138509879	172.72626	0.658764	0.195624	0.999221	0.998684	0.994459	0.988868	0.976535	0.961576	0.944872	0.763691	S1
UEB_39	Tumor	9339602	842858	98.815	0.628	0.0998181	0.991418	0.98634	0.977129	0.961207	0.930265	0.477201	0.0834845	0.05468057	S1
UEB_3	Normal	9228960	734717	144	0.18571	0.6847608	0.950979	0.849945	0.805962	0.773494	0.74645	0.721281	0.60541	0.0954731	S1
UEB_40	Normal	8996186	93041864	116.026188	0.14609	0.1567921	0.999068	0.993986	0.988516	0.977396	0.958276	0.926711	0.611614	0.094088	S1
UEB_41	Tumor	10669396	120581234	150.3686652	0.13487	0.1474203	0.998625	0.994336	0.990673	0.985816	0.978163	0.966679	0.811711	0.120153	S1
UEB_42	Normal	11273632	160203877	199.779371	0.12983	0.1359043	0.999231	0.995769	0.993336	0.991337	0.988807	0.985652	0.939112	0.150661	S1
UEB_43	Tumor	11795492	172773127	215.4536292	0.13149	0.1372316	0.99896	0.995956	0.993939	0.992017	0.989342	0.986709	0.94753	0.1615025	S1
UEB_44	Tumor	12227232	180179987	224.690221	0.630735	0.216062	0.999576	0.999133	0.996022	0.993716	0.991932	0.989569	0.986578	0.944253	S1
UEB_45	Tumor	12740980	195862580	244.2469172	0.12325	0.1526543	0.99903	0.996409	0.994105	0.992231	0.989673	0.986744	0.949356	0.1802103	S1
UEB_46	Normal	16099664	193398614	241.174273	0.675138	0.186329	0.999512	0.999381	0.996409	0.993943	0.992113	0.989854	0.987657	0.95424	S1
UEB_47	Tumor	12917300	205149503	255.8280082	0.13508	0.1650503	0.998494	0.995821	0.99375	0.991838	0.989387	0.985886	0.936951	0.1949731	S1
UEB_48	Normal	16245272	283832301	353.94798	0.577899	0.251209	0.999381	0.998881	0.996324	0.99515	0.994007	0.992886	0.991938	0.983838	S1
UEB_49	Tumor	13227504	189727292	236.5960162	0.12674	0.1598622	0.999075	0.997521	0.995491	0.993342	0.991561	0.98843	0.936529	0.1731455	S1
UEB_50	Normal	13219636	157616500	196.552829	0.676562	0.185994	0.999613	0.998883	0.995704	0.992822	0.989415	0.984151	0.976336	0.868715	S1
UEB_51	Tumor	12861668	167205492	208.51061	0.658504	0.192416	0.998886	0.998265	0.995054	0.992442	0.989954	0.98549	0.978057	0.882996	S1
UEB_52	Normal	12908672	188084739	234.5477	0.632188	0.206885	0.998853	0.997955	0.993882	0.991615	0.987838	0.983298	0.976325	0.89544	S1
UEB_53	Tumor	17839742	219159071	273.2983892	0.11684	0.2102295	0.997743	0.995431	0.993181	0.990321	0.985877	0.979222	0.895618	0.2035418	S1
UEB_54	Tumor	16580264	175643136	219.0326222	0.11833	0.1825272	0.9985	0.995034	0.991876	0.987964	0.981837	0.973221	0.868563	0.1701474	S1
UEB_55	Normal	10821026	162246616	202.326732	0.621816	0.213714	0.998874	0.997922	0.994545	0.991691	0.988368	0.982964	0.975058	0.872323	S1
UEB_56	Tumor	11021604	185261413	231.026922	0.603098	0.260775	0.998804	0.998642	0.997379	0.996167	0.995008	0.993998	0.992985	0.977677	S1
UEB_59	Normal	12315960	219731716	274.0124952	0.15861	0.175649	0.99822	0.995882	0.994274	0.992492	0.990046	0.986093	0.933335	0.201926	S1
UEB_5	Tumor	11412890	172490904	215.101688	0.621305	0.222533	0.999208	0.998536	0.995594	0.992902	0.98994	0.984839	0.976805	0.879165	S1
UEB_60	Normal	12598746	158606355	197.78721	0.673519	0.194098	0.998585	0.997987	0.995663	0.993578	0.990399	0.986028	0.978288	0.868707	S1
UEB_61	Normal	11200982	156057097	194.608204	0.63276	0.204779	0.998427	0.997638	0.994829	0.992212	0.989349	0.985519	0.980173	0.905404	S1
UEB_63	Normal	9588854	827537	201.673	0.484	0.0999032	0.997366	0.995997	0.995264	0.994292	0.993177	0.984286	0.1998213	0.03841306	S1
UEB_64	Normal	10562404	206644272	257.692033	0.55119	0.293397	0.99949	0.999302	0.997371	0.996071	0.995158	0.994255	0.992753	0.983828	S1
UEB_65	Normal	13392444	275126021	343.09097	0.560928	0.301075	0.999473	0.999137	0.998083	0.997141	0.996014	0.99513	0.994184	0.987285	S1
UEB_67	Normal	11929970	104067778	129.7758561	0.1344	0.1753728	0.99797	0.992101	0.985468	0.973769	0.952811	0.92288	0.641359	0.1085473	S1
UEB_68	Normal	12410668	135234922	168.642284	0.686681	0.177069	0.99911	0.998303	0.995455	0.993242	0.991146	0.988193	0.983444	0.888436	S1
UEB_69	Normal	7847344	822001	201.095	0.3601	0.099889	0.995273	0.992566	0.989828	0.987102	0.98283	0.918722	0.1634907	0.04491158	S1
UEB_6	Normal	12795418	73259183	91.35655	0.792049	0.010798	0.997461	0.996518	0.992111	0.981359	0.954587	0.900851	0.822582	0.367566	S1
UEB_70	Normal	13111552	154992277	193.280339	0.67149	0.181714	0.998273	0.997583	0.994871	0.992512	0.990326	0.98722	0.983609	0.915487	S1
UEB_71	Normal	9217014	834694	101.081	0.831	0.0997871	0.992369	0.98721	0.97843	0.960152	0.928864	0.541105	0.0917846	0.0611406	S1
UEB_72	Normal	12064376	157227438	196.067656	0.15109	0.1474193	0.997774	0.995644	0.99359	0.99178	0.989953	0.987166	0.929096	0.1464001	S1
UEB_73	Normal	14395864	157684622	196.63778	0.696068	0.170511	0.99842	0.997889	0.995157	0.992957	0.990692	0.987966	0.984175	0.923322	S1
UEB_74	Normal	12835286	100957631	125.8974031	0.13972	0.1516836	0.998067	0.994219	0.991101	0.9863	0.977874	0.960913	0.662456	0.0958763	S1
UEB_75	Normal	13930790	175637052	219.025035	0.677909	0.194207	0.999287	0.998621	0.996032	0.9942	0.992125	0.988682	0.983074	0.885287	S1
UEB_76	Normal	13822120	91821836	114.504774	0.784531	0.116829	0.998999	0.99835	0.993227	0.980649	0.955126	0.908651	0.844009	0.493881	S1
UEB_77	Tumor	6671044	62232376	77.605768	0.13325	0.1315352	0.999398	0.996109	0.991834	0.979335	0.950194	0.890921	0.157332	0.0564382	S1
UEB_78	Tumor	10416728	68608551	85.557063	0.770423	0.119451	0.998162	0.996674	0.991697	0.984998	0.969499	0.936384	0.874388	0.308618	S1
UEB_79	Tumor	10755528	185085774	230.807895	0.586814	0.244274	0.998799	0.998269	0.995475	0.993297	0.990978	0.98732	0.982007	0.911482	S1
UEB_7	Tumor	11735684	137653675	171.658546	0.668118	0.18099	0.998244	0.997324	0.994244	0.99165	0.988792	0.985107	0.979475	0.868151	S1
UEB_8	Tumor	10025082	167801498	209.253848	0.58495	0.2459	0.998893	0.998451	0.995326	0.993426	0.991276	0.988494	0.985152	0.939622	S1
UEB_9	Normal	7490248	127787028	159.354521	0.15957	0.1448677	0.998358	0.994651	0.991538	0.987106	0.981139	0.971116	0.843517	0.1255326	S1
